"id","name","lat","lon","trip_starts","trip_start_members","trip_start_casuals","trip_ends","trip_end_members","trip_end_casuals","total_trip_activity"
"15530","Rush St & Superior St",41.8957561286986,-87.6260327699038,19743,11106,8637,19937,11273,8664,39680
"KA1503000064","Dusable Harbor",41.8869692972694,-87.612816420039,20080,5382,14698,19455,6260,13195,39535
"13059","Bissell St & Armitage Ave",41.9184303403952,-87.6522130357132,19388,10781,8607,20118,11422,8696,39506
"WL-012","Clinton St & Washington Blvd",41.8833915367136,-87.6411845797571,19831,14752,5079,19639,14996,4643,39470
"TA1307000150","Pine Grove Ave & Waveland Ave",41.9494500363508,-87.6464512834434,19706,11683,8023,19727,11934,7793,39433
"TA1306000015","Morgan St & Lake St",41.8855058204202,-87.6522565110128,19051,10371,8680,20324,11313,9011,39375
"13071","Southport Ave & Roscoe St",41.9437221622021,-87.6640050985353,19127,10453,8674,19869,11315,8554,38996
"TA1305000029","State St & Randolph St",41.8846692577516,-87.6278931338071,19531,10116,9415,19436,9801,9635,38967
"13265","Kingsbury St & Erie St",41.8938170435963,-87.6416969107281,19560,13515,6045,18853,12739,6114,38413
"TA1307000136","Clark St & Wellington Ave",41.9364925701106,-87.6475494263109,19082,11259,7823,19277,11789,7488,38359
"TA1308000012","Montrose Harbor",41.9639761961874,-87.6382295984274,19377,8005,11372,18947,7883,11064,38324
"331","Halsted St & Clybourn Ave",41.9096442596554,-87.6481157968049,18811,11691,7120,18907,11871,7036,37718
"TA1309000061","Halsted St & Wrightwood Ave",41.9291445522079,-87.6490881095055,18900,10720,8180,18692,10773,7919,37592
"SL-008","Federal St & Polk St",41.8721039354455,-87.6295478515492,18757,10808,7949,18672,10940,7732,37429
"TA1306000014","Wilton Ave & Diversey Pkwy",41.9324143197785,-87.6527125334962,19005,10869,8136,18226,10767,7459,37231
"13033","Milwaukee Ave & Grand Ave",41.891590237801,-87.6483554495541,18568,10843,7725,18338,10958,7380,36906
"623","Michigan Ave & 8th St",41.8727335427819,-87.6239823153177,18769,5732,13037,17880,5074,12806,36649
"15529","Mies van der Rohe Way & Chestnut St",41.8985708762356,-87.6220301665393,18226,10380,7846,18094,10248,7846,36320
"TA1306000010","Daley Center Plaza",41.884196556906,-87.629634719724,18091,11746,6345,18114,12303,5811,36205
"13235","Southport Ave & Waveland Ave",41.9481383067075,-87.6639484245163,17953,10637,7316,18247,10631,7616,36200
"13276","Stockton Dr & Wrightwood Ave",41.9313084050655,-87.6387394478633,17927,9416,8511,17856,9559,8297,35783
"TA1307000052","Sheffield Ave & Wellington Ave",41.9362589377491,-87.6525861099004,17837,10254,7583,17920,10252,7668,35757
"TA1305000022","Orleans St & Merchandise Mart Plaza",41.8881662334559,-87.6364919132967,18711,12367,6344,16985,11451,5534,35696
"TA1306000016","Sheffield Ave & Fullerton Ave",41.9255995057281,-87.6537074778861,18009,11400,6609,17438,11438,6000,35447
"TA1305000006","Dearborn St & Monroe St",41.8812420617788,-87.6295916238682,17548,11109,6439,17255,11039,6216,34803
"13192","Halsted St & Dickens Ave",41.9199363019675,-87.6488329385868,16862,9592,7270,17519,10102,7417,34381
"13021","Clinton St & Lake St",41.8856053964984,-87.6418155192459,17169,11761,5408,17101,11770,5331,34270
"TA1309000033","Sheffield Ave & Webster Ave",41.9215780770539,-87.6538014959238,17070,9522,7548,17167,9705,7462,34237
"TA1309000010","Wabash Ave & 9th St",41.8707506698178,-87.6257443952497,16980,9168,7812,17027,9110,7917,34007
"RN-","Franklin St & Illinois St",41.8910242585779,-87.6354706083246,16972,10296,6676,16683,9951,6732,33655
"13277","Broadway & Belmont Ave",41.940096413055,-87.6454536060888,16507,9466,7041,16951,9495,7456,33458
"KA1503000014","Ellis Ave & 60th St",41.785108832258,-87.601070870758,16777,12425,4352,16592,12230,4362,33369
"TA1307000038","Sedgwick St & North Ave",41.9113777749898,-87.6386776496147,16713,9037,7676,16627,9419,7208,33340
"13338","Mies van der Rohe Way & Chicago Ave",41.8969548501036,-87.6217661447829,16469,10402,6067,16489,10315,6174,32958
"TA1307000127","Clark St & Grace St",41.9507970851684,-87.6591727566466,16537,7835,8702,16385,7896,8489,32922
"TA1305000025","Franklin St & Jackson Blvd",41.8777406035281,-87.6353169421307,16698,9288,7410,16100,9763,6337,32798
"13011","Canal St & Adams St",41.8793308844221,-87.6399092249188,16620,11394,5226,15829,11456,4373,32449
"KA1504000152","Lakefront Trail & Bryn Mawr Ave",41.9839529604702,-87.6522868295672,16168,8877,7291,16187,8905,7282,32355
"TA1307000131","Wabash Ave & Wacker Pl",41.886903911406,-87.6260741791389,15980,5966,10014,16077,5385,10692,32057
"13332","Loomis St & Lexington St",41.8721891834584,-87.6614902555086,16199,13644,2555,15770,12998,2772,31969
"TA1309000023","Sheffield Ave & Wrightwood Ave",41.9287047255485,-87.653825838623,16025,8226,7799,15816,8347,7469,31841
"TA1307000064","Lincoln Ave & Diversey Pkwy",41.9322126873666,-87.6586196436368,15822,9653,6169,15807,9625,6182,31629
"KA1503000012","Clark St & Lake St",41.8860044692454,-87.6309072828325,15973,9285,6688,15641,8757,6884,31614
"13221","Wood St & Milwaukee Ave",41.9076439181631,-87.6725362575201,15302,8300,7002,15835,8469,7366,31137
"13191","Sedgwick St & Webster Ave",41.9221658419002,-87.6389086540621,15626,8995,6631,15383,9003,6380,31009
"TA1306000009","Larrabee St & Kingsbury St",41.8977147546289,-87.6429478415943,15945,11614,4331,15057,11153,3904,31002
"TA1305000030","Clark St & Randolph St",41.8846062981212,-87.6317984024222,15542,9891,5651,15245,10013,5232,30787
"KA1503000071","University Ave & 57th St",41.7914989389087,-87.5998670464197,14984,11159,3825,15596,11802,3794,30580
"TA1307000111","Franklin St & Lake St",41.8858309737356,-87.6355006963923,15476,9748,5728,14881,9117,5764,30357
"13158","Peoria St & Jackson Blvd",41.877664029134,-87.649587335985,15154,10133,5021,15139,9977,5162,30293
"TA1307000107","Sheridan Rd & Montrose Ave",41.9616421895047,-87.654631285871,14730,9019,5711,15147,9292,5855,29877
"13431","Adler Planetarium",41.8661040543216,-87.6072887623591,15146,5341,9805,14648,5128,9520,29794
"LP-","Lincoln Park Conservatory",41.9239539189083,-87.6358392511323,14865,5749,9116,14581,5566,9015,29446
"TA1306000026","Racine Ave & Fullerton Ave",41.9255793651102,-87.6584105593991,14668,9955,4713,14684,10094,4590,29352
"TA1309000036","Burling St & Diversey Pkwy",41.9331290982508,-87.6477601989986,14243,8853,5390,14804,9256,5548,29047
"KP1705001026","LaSalle Dr & Huron St",41.894850406276,-87.6322942853512,14882,8431,6451,14079,7583,6496,28961
"13303","Clark St & Chicago Ave",41.8967232438439,-87.630877858824,14637,8327,6310,14144,7832,6312,28781
"TA1308000019","Racine Ave & Belmont Ave",41.9397199049572,-87.6588612583043,14285,7300,6985,14324,7342,6982,28609
"13063","Sheridan Rd & Irving Park Rd",41.954236488537,-87.6544089981302,14207,8731,5476,14245,8573,5672,28452
"TA1308000022","Pine Grove Ave & Irving Park Rd",41.9543672530453,-87.6480422053996,14301,8345,5956,13941,7823,6118,28242
"13154","Sheffield Ave & Kingsbury St",41.9105458527871,-87.653120606645,14005,9228,4777,14131,9544,4587,28136
"13017","Franklin St & Chicago Ave",41.8967460324768,-87.6356859019846,14223,9444,4779,13663,9317,4346,27886
"TA1307000124","Michigan Ave & 14th St",41.8641188449195,-87.6237365496591,13918,8496,5422,13826,8383,5443,27744
"KA1504000134","Ritchie Ct & Banks St",41.9068592848388,-87.6262528670297,13967,7592,6375,13609,7361,6248,27576
"13323","Broadway & Sheridan Rd",41.9528207306675,-87.6499940890944,13692,7958,5734,13658,8168,5490,27350
"TA1306000032","Sheffield Ave & Willow St",41.9136972172441,-87.6528424894668,13519,8844,4675,13638,8719,4919,27157
"13128","Clark St & North Ave",41.9119620377935,-87.6319566658104,13630,6543,7087,13489,6471,7018,27119
"15541","Buckingham Fountain",41.8758505404336,-87.6208344101464,13990,2005,11985,12850,2024,10826,26840
"15545","Burnham Harbor",41.8562629764049,-87.6133347680796,13383,8266,5117,13356,8052,5304,26739
"TA1307000001","Greenview Ave & Fullerton Ave",41.9253503004219,-87.665797749221,12951,7545,5406,13612,7891,5721,26563
"13034","Michigan Ave & Pearson St",41.897575871277,-87.6235492676046,13170,5483,7687,13208,5363,7845,26378
"15534","Field Blvd & South Water St",41.8862774565634,-87.617460538965,13193,6934,6259,13077,7206,5871,26270
"TA1307000062","Sedgwick St & Huron St",41.8946631972626,-87.6383830170571,13656,9556,4100,12554,8930,3624,26210
"638","Clinton St & Jackson Blvd",41.8783661669656,-87.6409288192698,13317,9803,3514,12766,9463,3303,26083
"13427","Cityfront Plaza Dr & Pioneer Ct",41.8905407680202,-87.6220772980305,13536,6941,6595,12414,6174,6240,25950
